OBJECTID,count,sex_class,height,latitude,longitude,location_route,start_date,perch_nest_sub,flight_behaviours,perched_behaviours,distance_m,prefered_name,Raptor Group,Temperature,Cloud,Wind,survey_ID,transect_ID,transect_repeat,season
1244551,1,undetermined,1 - 20 m (poles / low tree height),-35.44107653,138.5934966,Victor Harbour,"2/7/2023, 10:55 AM",unspecified,gliding and flapping (directional flight),unspecified,97,Wedge-tailed Eagle,eagles,Cool,Overcast,Breeze,29,VH_2,2,1
1244552,2,undetermined,20 - 50 m (pylons / tall tree height),-35.47370272,138.5773683,Victor Harbour,"2/7/2023, 10:44 AM",unspecified,soaring,unspecified,399,Wedge-tailed Eagle,eagles,Cool,Overcast,Breeze,29,VH_2,2,1
1244553,1,male,1 - 20 m (poles / low tree height),-35.50689751,138.5944547,Victor Harbour,"2/7/2023, 10:31 AM",overhead lines,unspecified,just perching,106,Nankeen Kestrel,kesrels,Cool,Overcast,Breeze,29,VH_2,2,1
1244549,1,undetermined,1 - 20 m (poles / low tree height),-35.23054854,138.8514022,Strathalbyn,"2/8/2023, 9:24 AM",unspecified,flapping,unspecified,108,Black-shouldered Kite,kites&others,Cool,Clear,Still,30,S_1,2,1
1244550,1,undetermined,1 - 20 m (poles / low tree height),-35.23051896,138.8549365,Strathalbyn,"2/8/2023, 9:22 AM",overhead lines,unspecified,just perching,47,Nankeen Kestrel,kesrels,Cool,Clear,Still,30,S_1,2,1
1244546,1,undetermined,20 - 50 m (pylons / tall tree height),-35.34805442,138.938406,Strathalbyn,"2/8/2023, 10:28 AM",unspecified,gliding and flapping (directional flight),unspecified,408,Brown Falcon,falcons,Warm,Clear,Still,31,S_3,2,1
1244547,1,undetermined,1 - 20 m (poles / low tree height),-35.31654114,138.9256905,Strathalbyn,"2/8/2023, 10:20 AM",large tree,unspecified,just perching,699,Brown Falcon,falcons,Warm,Clear,Still,31,S_3,2,1
1244548,1,undetermined,20 - 50 m (pylons / tall tree height),-35.30062276,138.9061372,Strathalbyn,"2/8/2023, 10:15 AM",unspecified,gliding and flapping (directional flight),unspecified,352,Little Eagle,eagles,Warm,Clear,Still,31,S_3,2,1
1244544,1,undetermined,1 - 20 m (poles / low tree height),-35.11967504,138.9007368,Strathalbyn,"2/8/2023, 12:07 PM",unspecified,hovering,unspecified,245,Nankeen Kestrel,kesrels,Warm,Clear,Still,32,S_2,2,1
1244545,2,undetermined,20 - 50 m (pylons / tall tree height),-35.12027039,138.9025535,Strathalbyn,"2/8/2023, 12:05 PM",unspecified,soaring,unspecified,350,Wedge-tailed Eagle,eagles,Warm,Clear,Still,32,S_2,2,1
1244542,1,undetermined,20 - 50 m (pylons / tall tree height),-35.19375051,138.513863,South Adelaide,"2/9/2023, 12:32 PM",unspecified,soaring,unspecified,346,Wedge-tailed Eagle,eagles,Hot,Clear,Still,36,SA_3,2,1
